tripid,userid,name,trippointid,lat,lon,speed,recordedtimestamp,sequence,enginerpm,shorttermfuelbank,longtermfuelbank,throttleposition,relativethrottleposition,runtime,distancewithmil,engineload,mafflowrate,outsidetemperature,enginefuelrate
51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,2200c436-c268-4a80-8281-27679dcee2f0,47.640305322168331,-122.13051845392026,-255,2018-03-14T00:00:14.3254710Z,48,-255,-255,-255,-255,-255,-255,-255,-255,-255,,11


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,faba0ad6-6572-4a0d-a397-edf653e35b3f,47.640421345836081,-122.13051656876347,-255,2018-03-14T00:00:15.3274380Z,50,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d66931f5-970b-4efb-b145-868ee4c724dc,47.640421345836081,-122.13051656876347,-255,2018-03-14T00:00:15.3613770Z,51,-255,-255,-255,-255,-255,-255,-255,-255,-255,,29


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,87b0b03d-8466-4848-9198-34e7c3e05ace,47.640544424478463,-122.13052070894442,-255,2018-03-14T00:00:16.3671980Z,53,-255,-255,-255,48,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,90c4a0f3-9afa-4267-a27d-9412e805220d,47.640544424478463,-122.13052070894442,1379,2018-03-14T00:00:16.3289010Z,52,20,1369,48,-255,-255,-255,-255,-4,0,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,4de06e08-73ca-4853-95cc-cff00142ad08,47.640678255950256,-122.13052354597433,-255,2018-03-14T00:00:17.3602770Z,55,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,507556db-14e5-48e6-acf0-f3fce5d03995,47.640678255950256,-122.13052354597433,338,2018-03-14T00:00:17.3308090Z,54,-255,-255,-255,0,0,6,11,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,f60d6a11-1c18-478e-b380-0fc18635a699,47.640809825523114,-122.13052561150286,-255,2018-03-14T00:00:18.3273180Z,56,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,be673031-65b0-4b46-aef4-d9bf7597f404,47.640809825523114,-122.13052561150286,-255,2018-03-14T00:00:18.3538690Z,57,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,326a0d0b-fd59-4272-930b-bcc8699ae509,47.640934237158049,-122.13053188321058,-255,2018-03-14T00:00:19.3690450Z,59,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,1c1a937d-2a64-4a8d-8275-f11854eabadf,47.640934237158049,-122.13053188321058,-255,2018-03-14T00:00:19.3382930Z,58,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,4ad25f0c-3fbb-4d8f-9566-257e11525f75,47.641053728477537,-122.13053932492592,-255,2018-03-14T00:00:20.3568790Z,61,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,fb7d39b3-7f7e-410d-8983-da3717f6a4da,47.641053728477537,-122.13053932492592,-255,2018-03-14T00:00:20.3224210Z,60,-255,16,-255,-255,-255,-255,-255,5,0,,16


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,c21fa1b0-7cfc-498b-b660-3be0d178ccce,47.6411670288955,-122.13054956633937,-255,2018-03-14T00:00:21.3290110Z,62,-255,9,11,-255,-4,-255,0,-7,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,679597cd-68aa-4709-b231-e32c31683b6f,47.6411670288955,-122.13054956633937,-255,2018-03-14T00:00:21.3623780Z,63,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,1a484b87-ef6f-47d9-aec0-02f44f76622b,47.641276792528828,-122.13055517976206,-255,2018-03-14T00:00:22.3216790Z,64,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,a1ea1695-66b0-4539-9033-f5eb200d6aa7,47.641276792528828,-122.13055517976206,-255,2018-03-14T00:00:22.3512380Z,65,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,0a838a8d-379c-4101-b117-fdf993b91cc2,47.641381467608063,-122.13056154708929,-255,2018-03-14T00:00:23.3530240Z,67,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,cf290aa9-fe7b-4842-af79-6bcf3baf78e1,47.641381467608063,-122.13056154708929,-255,2018-03-14T00:00:23.3242000Z,66,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,474d59e9-5ae7-4110-9014-9315c24b2f42,47.641490168545424,-122.13056892118045,-255,2018-03-14T00:00:24.3603200Z,69,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,db46201c-922a-49b3-8c1d-65ca62de4849,47.641490168545424,-122.13056892118045,7,2018-03-14T00:00:24.3250720Z,68,10,0,4,20,1126,17,-7,346,19,,41


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,bef549e4-42a1-4229-988d-31fdb3247faa,47.6415993876663,-122.13057383419722,-255,2018-03-14T00:00:25.3269590Z,70,-255,5,-255,5,-255,13,17,0,347,,15


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,3d1c950a-8840-4304-b2d4-0f4b74f6bb75,47.6415993876663,-122.13057383419722,-255,2018-03-14T00:00:25.3612530Z,71,-255,-255,-255,-255,-7,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,a4db60b1-93f3-44b9-b886-a2ffba812b71,47.641704455939994,-122.13057863305714,-255,2018-03-14T00:00:26.3583420Z,73,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,4709ce64-4d38-49a5-8b76-e0d1b991835a,47.641704455939994,-122.13057863305714,-255,2018-03-14T00:00:26.3260690Z,72,-255,-255,10,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,90e87218-86c1-492f-9a56-c0f83bdc16fe,47.641798951157554,-122.13058110053315,-255,2018-03-14T00:00:27.2888590Z,74,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,3514e4e4-eaea-4325-bb2c-92703bcb2d4f,47.641798951157554,-122.13058110053315,-255,2018-03-14T00:00:27.3082580Z,75,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,ca4fb32a-d3d4-4e1b-b926-802cdc41babb,47.641885113760928,-122.13058206906447,-255,2018-03-14T00:00:28.3596510Z,77,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,8e50a052-f546-4b00-a3a6-611e28b2f01e,47.641885113760928,-122.13058206906447,4,2018-03-14T00:00:28.3248330Z,76,-255,0,-255,14,-255,17,-7,350,15,,30


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,19d2b853-a8a3-4436-8d5f-6964e394ef13,47.641963327497415,-122.13058489890426,-255,2018-03-14T00:00:29.3286690Z,78,10,-255,4,-255,908,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,0697d95e-f811-4161-bf91-6ea846b95060,47.641963327497415,-122.13058489890426,-255,2018-03-14T00:00:29.3616500Z,79,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,c7cad4ad-0fda-4425-a358-04149b559b83,47.6420324936725,-122.13059128226902,-255,2018-03-14T00:00:30.3566410Z,81,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,8c6dd108-b73e-4770-8ae9-897bfb66fb16,47.6420324936725,-122.13059128226902,-255,2018-03-14T00:00:30.3228640Z,80,-255,5,10,5,-7,17,-4,0,352,,16


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,347f471f-7cf0-4225-b821-e02dd0c6b4fb,47.642092202310309,-122.13060547606263,-255,2018-03-14T00:00:31.3618440Z,83,-255,-255,-255,-255,-255,-255,-7,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,f9f32905-a3fb-4859-a235-9ec2202dabd2,47.642092202310309,-122.13060547606263,4,2018-03-14T00:00:31.3343100Z,82,-255,0,-255,13,-255,1,-255,353,14,,18


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,f082ed3e-e76d-432e-b496-463baf0c5f35,47.642147038787414,-122.13061583352773,-255,2018-03-14T00:00:32.3264310Z,84,10,-255,4,-255,710,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,214cde0e-f944-4331-b528-2826e218f99e,47.642147038787414,-122.13061583352773,-255,2018-03-14T00:00:32.3601930Z,85,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,a1dd697c-6705-4ab5-a495-2dcb05144a3e,47.642195932475218,-122.13062020370397,-255,2018-03-14T00:00:33.2179620Z,87,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,49022582-141c-49ee-9220-249ee225c600,47.642195932475218,-122.13062020370397,-255,2018-03-14T00:00:33.1903950Z,86,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,674ff279-fa2b-4730-9d96-f365d1f2747f,47.642243231651769,-122.13062203233918,-255,2018-03-14T00:00:34.2219840Z,89,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,9cb05484-324d-4a3a-a7cc-477be6aeea3c,47.642243231651769,-122.13062203233918,-255,2018-03-14T00:00:34.1958390Z,88,-255,-255,-255,5,-255,17,-255,0,356,,17


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,546387ec-2f27-4b15-85c1-2909e17809ed,47.642290804832605,-122.13062220979731,-255,2018-03-14T00:00:35.1789300Z,90,-255,12,10,-255,-4,-255,2,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,44a4fcfe-2934-4cbc-8ffd-c3089a72aed1,47.642290804832605,-122.13062220979731,-255,2018-03-14T00:00:35.2051120Z,91,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d368df68-0c48-49cf-aaef-682a24bb3cf9,47.642380126876681,-122.13062047561701,2,2018-03-14T00:00:37.1495560Z,92,-255,-255,-255,-255,-255,-255,-255,-255,-255,,17


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,9ac7731a-17b6-43bf-aced-30c3a895b5a2,47.642380126876681,-122.13062047561701,-255,2018-03-14T00:00:37.1686000Z,93,-255,-255,-255,-255,-255,-255,-255,-255,12,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,298fae47-906a-4f4a-ba73-d629963d3f19,47.642464597678,-122.13062504548242,-255,2018-03-14T00:00:39.1802710Z,94,10,7,10,6,-2,19,0,0,360,,18


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,dea28be0-b7cd-46d1-a9a9-97e45060e5d1,47.642464597678,-122.13062504548242,-255,2018-03-14T00:00:39.1979440Z,95,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,07721025-26bc-4aa9-a42d-3f986cf45b9c,47.642539743457824,-122.13063536421981,-255,2018-03-14T00:00:41.1702010Z,96,10,0,7,6,723,18,0,0,363,,17


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,58cf9a30-a70e-40ab-923c-97b7234b23db,47.642539743457824,-122.13063536421981,-255,2018-03-14T00:00:41.1894190Z,97,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,c4e1e51d-2530-4370-9876-0597cae0fc39,47.642590317379238,-122.13064637898215,6,2018-03-14T00:00:43.1890710Z,98,10,0,7,17,715,-3,-2,365,17,,0


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,1d315f75-264b-4fca-9aa9-396388d8168a,47.642590317379238,-122.13064637898215,-255,2018-03-14T00:00:43.2109310Z,99,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,b81ecf8b-8cf3-4704-a661-53607dec764b,47.642636232633365,-122.13065412308404,5,2018-03-14T00:00:45.1977690Z,100,-255,6,10,17,-2,17,0,367,17,,0


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,7e97c25b-c8bc-4b00-9644-252bdd57ce64,47.642636232633365,-122.13065412308404,-255,2018-03-14T00:00:45.2222360Z,101,-255,-255,-255,-255,-255,-2,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,c19e109b-ef0c-41f4-9422-b51ca4cb7b8c,47.64269009218475,-122.13065456579427,-255,2018-03-14T00:00:48.2133650Z,103,-255,0,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,3acc59da-4852-4380-8a34-811a62741f28,47.64269009218475,-122.13065456579427,12,2018-03-14T00:00:48.1887070Z,102,-255,20,10,44,-4,-2,-1,370,29,,10


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,d4ae64a9-7715-4986-bb3a-60856205113f,47.642756102862748,-122.13064446850476,-255,2018-03-14T00:00:51.2088120Z,104,10,-255,20,-255,1595,-255,-4,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,6d0819c8-9619-4072-b4c3-3111e7c7679e,47.642756102862748,-122.13064446850476,-255,2018-03-14T00:00:51.2340210Z,105,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,92099d0c-fa41-4b3b-b54d-2a0f0a3c2d41,47.642811744316873,-122.13071109369449,-255,2018-03-14T00:00:53.2126630Z,106,-255,-255,0,-255,-255,19,-255,-255,-255,,29


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,00f7a9f5-38f7-4d15-98e3-6b2fb0f4e756,47.642811744316873,-122.13071109369449,-255,2018-03-14T00:00:53.2403750Z,107,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,162d6f79-f5d9-4ef0-97b3-f29130e7c1e9,47.642828218453,-122.13079345159586,34,2018-03-14T00:00:54.3328690Z,108,-255,-255,-255,-255,-255,-255,-255,-255,-255,,30


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,856cfc7f-60a7-49f3-b5ec-4f98db9f6c09,47.642828218453,-122.13079345159586,-255,2018-03-14T00:00:54.3650190Z,109,-255,-255,-255,-255,-255,-255,-255,-255,38,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,088ead53-82df-4fb0-923e-744f2e4b55a8,47.642834763558149,-122.13089057902562,-255,2018-03-14T00:00:55.3333650Z,110,10,0,26,69,1612,0,-4,376,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,f034b505-06f1-467c-88d8-273f358a3865,47.642834763558149,-122.13089057902562,-255,2018-03-14T00:00:55.3618330Z,111,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,f8dc4adf-f0b1-4f58-8fb7-1398a4d41bd4,47.642838455023863,-122.13100269948183,-255,2018-03-14T00:00:56.3221640Z,112,-255,-255,-255,6,-255,-255,-255,-255,-255,,19


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,ee5688d6-0a21-469f-b2c8-704b061d2541,47.642838455023863,-122.13100269948183,-255,2018-03-14T00:00:56.3588890Z,113,-255,-255,-255,-255,-255,-255,-255,-255,378,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,56cdc395-4623-4737-a773-ff8d29553287,47.642845008145535,-122.13113241835573,-255,2018-03-14T00:00:57.2783150Z,114,-255,6,10,-255,-7,12,0,0,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,6951c530-63ee-4053-b472-3931a82d28df,47.642845008145535,-122.13113241835573,-255,2018-03-14T00:00:57.2974630Z,115,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,569b91a7-9ca4-425b-9053-7feb0706986b,47.642852256723486,-122.13126930166086,5,2018-03-14T00:00:58.3436350Z,116,10,0,5,14,1222,0,-7,380,16,,38


51903dcd-e9b2-4efb-a357-b11d6d8fe927,MicrosoftAccount:cd3744e78c2d3d2d,,c34935b8-2d68-44c8-b7fa-a47d1184a943,47.642852256723486,-122.13126930166086,-255,2018-03-14T00:00:58.3722100Z,117,-255,-255,-255,-255,-255,-255,-255,-255,-255,,-255


